BSEY for Ti (Bronstein)
BeamE(eV),BSEY
100.00,0.120000
210.00,0.234000
310.00,0.270000
410.00,0.283000
600.00,0.293000
800.00,0.299000
1000.00,0.294000
2000.00,0.291000
3000.00,0.287000
4000.00,0.283000
