Measured C-on-SS BSEY at normal incidence; arithmetic mean of runs 1 and 2 from 2026-07-28; direct measured values; no RFA correction factor applied
"beamE (eV)","BSEY"
150,0.099395320
175,0.102642830
200,0.100689304
250,0.094818551
300,0.076639482
350,0.078481879
400,0.076340815
500,0.079727947
800,0.085113369
1000,0.091172102
1500,0.090245399
2000,0.091343606
3500,0.090602046
5000,0.089223383
8000,0.083403438
10000,0.079151934
