"Cu, TDDFT b=1, l=0, April 2026, Linear elastic below 100 eV"
"E_beam (eV)","Sample tilt (deg)","BSEY","SEY"
400.,82.,0.798,1.211
500.,82.,0.877,1.302
800.,82.,0.954,1.436
1000.,82.,0.991,1.458
1500.,82.,0.993,1.388
2000.,82.,0.987,1.282
3500.,82.,0.96,1.057
5000.,82.,0.929,0.964
8000.,82.,0.909,0.8
10000.,82.,0.895,0.741
15000.,82.,0.873,0.624
20000.,82.,0.853,0.536
29975.,82.,0.842,0.427
50.,85.,0.138,0.325
75.,85.,0.189,0.459
100.,85.,0.273,0.573
125.,85.,0.354,0.676
150.,85.,0.423,0.742
175.,85.,0.482,0.82
200.,85.,0.545,0.867
250.,85.,0.638,0.974
300.,85.,0.706,1.067
350.,85.,0.772,1.142
400.,85.,0.819,1.185
500.,85.,0.877,1.272
800.,85.,0.984,1.387
1000.,85.,1.022,1.381
1500.,85.,1.028,1.323
2000.,85.,1.022,1.229
3500.,85.,0.991,1.026
5000.,85.,0.985,0.917
8000.,85.,0.973,0.818
10000.,85.,0.97,0.778
15000.,85.,0.935,0.685
20000.,85.,0.93,0.617
29975.,85.,0.902,0.537
50.,86.,0.2,0.301
75.,86.,0.236,0.435
100.,86.,0.321,0.537
125.,86.,0.381,0.624
150.,86.,0.444,0.716
175.,86.,0.499,0.784
200.,86.,0.554,0.854
250.,86.,0.645,0.966
300.,86.,0.722,1.045
350.,86.,0.776,1.111
400.,86.,0.824,1.175
500.,86.,0.895,1.26
800.,86.,0.993,1.366
1000.,86.,1.024,1.39
1500.,86.,1.037,1.315
2000.,86.,1.032,1.225
3500.,86.,1.016,1.024
5000.,86.,1.012,0.912
8000.,86.,0.995,0.798
10000.,86.,0.979,0.763
15000.,86.,0.962,0.692
20000.,86.,0.952,0.648
29975.,86.,0.943,0.565
50.,87.,0.298,0.271
75.,87.,0.317,0.382
100.,87.,0.371,0.493
125.,87.,0.423,0.595
150.,87.,0.482,0.662
175.,87.,0.528,0.746
200.,87.,0.581,0.803
250.,87.,0.665,0.909
300.,87.,0.723,1.025
350.,87.,0.793,1.091
400.,87.,0.829,1.155
500.,87.,0.905,1.242
800.,87.,1.011,1.35
