"Cu, TDDFT b=1, l=0, April 2026, Browning elastic below 100 eV"
"E_beam (eV)","Sample tilt (deg)","BSEY","SEY"
200.,80.,0.519,1.038
250.,80.,0.609,1.15
300.,80.,0.683,1.24
350.,80.,0.744,1.309
400.,80.,0.793,1.37
500.,80.,0.856,1.452
800.,80.,0.944,1.558
1000.,80.,0.97,1.526
1500.,80.,0.965,1.425
2000.,80.,0.948,1.322
3500.,80.,0.924,1.068
5000.,80.,0.889,0.928
8000.,80.,0.873,0.759
10000.,80.,0.849,0.668
15000.,80.,0.827,0.544
20000.,80.,0.806,0.445
29975.,80.,0.789,0.331
50.,82.,0.042,0.476
75.,82.,0.139,0.618
100.,82.,0.238,0.737
125.,82.,0.33,0.827
150.,82.,0.398,0.908
175.,82.,0.465,0.974
200.,82.,0.532,1.022
250.,82.,0.615,1.142
300.,82.,0.7,1.214
350.,82.,0.753,1.304
400.,82.,0.809,1.349
500.,82.,0.868,1.444
800.,82.,0.971,1.523
1000.,82.,0.985,1.509
1500.,82.,0.977,1.396
2000.,82.,0.984,1.284
3500.,82.,0.958,1.074
5000.,82.,0.927,0.958
8000.,82.,0.91,0.786
10000.,82.,0.893,0.731
15000.,82.,0.866,0.599
20000.,82.,0.857,0.5
29975.,82.,0.836,0.401
50.,85.,0.135,0.431
75.,85.,0.2,0.574
100.,85.,0.28,0.693
125.,85.,0.36,0.786
150.,85.,0.425,0.876
175.,85.,0.492,0.95
200.,85.,0.548,1.005
250.,85.,0.641,1.118
300.,85.,0.715,1.2
350.,85.,0.774,1.268
400.,85.,0.836,1.34
500.,85.,0.893,1.409
800.,85.,0.988,1.477
1000.,85.,1.017,1.474
1500.,85.,1.03,1.344
2000.,85.,1.012,1.244
3500.,85.,1.002,1.054
5000.,85.,0.986,0.948
8000.,85.,0.973,0.805
10000.,85.,0.961,0.765
15000.,85.,0.95,0.692
20000.,85.,0.931,0.622
29975.,85.,0.905,0.526
50.,86.,0.205,0.396
75.,86.,0.248,0.535
100.,86.,0.316,0.659
125.,86.,0.383,0.759
150.,86.,0.441,0.845
175.,86.,0.5,0.932
200.,86.,0.556,0.989
250.,86.,0.648,1.093
300.,86.,0.718,1.205
350.,86.,0.777,1.265
400.,86.,0.83,1.339
500.,86.,0.897,1.398
800.,86.,0.993,1.479
1000.,86.,1.017,1.466
1500.,86.,1.021,1.349
2000.,86.,1.024,1.242
3500.,86.,1.018,1.042
5000.,86.,1.011,0.941
8000.,86.,0.992,0.824
10000.,86.,0.983,0.775
15000.,86.,0.967,0.696
20000.,86.,0.953,0.645
29975.,86.,0.932,0.559
50.,87.,0.3,0.346
75.,87.,0.328,0.473
100.,87.,0.379,0.601
125.,87.,0.428,0.704
150.,87.,0.48,0.796
175.,87.,0.536,0.861
200.,87.,0.575,0.945
250.,87.,0.659,1.061
300.,87.,0.726,1.147
350.,87.,0.795,1.218
400.,87.,0.834,1.292
500.,87.,0.897,1.381
800.,87.,0.999,1.476
1000.,87.,1.022,1.457
1500.,87.,1.045,1.343
2000.,87.,1.047,1.238
3500.,87.,1.027,1.031
5000.,87.,1.019,0.916
8000.,87.,1.011,0.806
10000.,87.,1.01,0.774
15000.,87.,0.99,0.702
20000.,87.,0.982,0.645
29975.,87.,0.974,0.597
50.,88.,0.449,0.276
75.,88.,0.456,0.39
100.,88.,0.481,0.499
125.,88.,0.517,0.597
150.,88.,0.558,0.683
175.,88.,0.595,0.754
200.,88.,0.638,0.812
250.,88.,0.699,0.927
300.,88.,0.76,1.043
350.,88.,0.806,1.132
400.,88.,0.846,1.178
500.,88.,0.905,1.291
800.,88.,1.004,1.419
1000.,88.,1.022,1.418
1500.,88.,1.047,1.282
2000.,88.,1.034,1.183
3500.,88.,1.038,1.009
5000.,88.,1.026,0.891
8000.,88.,1.028,0.8
10000.,88.,1.022,0.74
15000.,88.,1.015,0.692
20000.,88.,1.009,0.671
29975.,88.,0.995,0.631
50.,89.,0.671,0.164
75.,89.,0.661,0.246
100.,89.,0.668,0.32
125.,89.,0.689,0.384
150.,89.,0.711,0.443
175.,89.,0.727,0.515
200.,89.,0.75,0.562
250.,89.,0.793,0.652
300.,89.,0.829,0.745
350.,89.,0.861,0.826
400.,89.,0.887,0.915
500.,89.,0.926,1.014
800.,89.,1.005,1.166
1000.,89.,1.019,1.193
1500.,89.,1.035,1.168
2000.,89.,1.045,1.11
3500.,89.,1.039,0.96
5000.,89.,1.04,0.875
8000.,89.,1.038,0.784
10000.,89.,1.026,0.749
15000.,89.,1.045,0.695
20000.,89.,1.028,0.642
29975.,89.,1.029,0.624
