"Sampler for emission energy (eE) of SE from 70 nm glassy-C around W wire."
"eE = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","eE (eV)"
75,0.,0.
75,0.001953125,0.547655223390276
75,0.00244140625,0.5964174742663163
75,0.002685546875,0.6207985997043365
75,0.002716064453125,0.623846240384089
75,0.0027313232421875,0.6253700607239652
75,0.00273895263671875,0.6261319708939034
75,0.00274658203125,0.6268938810638415
75,0.0028076171875,0.6329891624233465
75,0.0029296875,0.6451797251423566
75,0.00390625,0.7427042268944372
75,0.0078125,1.086206283764572
75,0.009765625,1.2128189863520045
75,0.0107421875,1.2761253376457207
75,0.01123046875,1.307778513292579
75,0.011474609375,1.323605101116008
75,0.0115966796875,1.3315183950277225
75,0.01165771484375,1.3354750419835797
75,0.01171875,1.339431688939437
75,0.015625,1.5722400798049214
75,0.0234375,1.967094324983374
75,0.025390625,2.057408504157803
75,0.02734375,2.1435227712241347
75,0.03125,2.3157513053567977
75,0.0390625,2.6427602102360845
75,0.041015625,2.7194958426675857
75,0.04150390625,2.738679750775461
75,0.041748046875,2.7482717048293988
75,0.0419921875,2.7578636588833363
75,0.04296875,2.796231475099087
75,0.046875,2.9497027399620888
75,0.0546875,3.236963007159905
75,0.05859375,3.3786644789180595
75,0.060546875,3.4495152147971364
75,0.0625,3.5181689141234918
75,0.078125,4.022750372679225
75,0.080078125,4.08309687965849
75,0.0810546875,4.113270133148123
75,0.08203125,4.143443386637755
75,0.0859375,4.2641364005962865
75,0.09375,4.505232408834103
75,0.1015625,4.733941640986132
75,0.109375,4.962650873138162
75,0.125,5.401411042944785
75,0.140625,5.826262417218543
75,0.1484375,6.0356520621501195
75,0.15625,6.239146578316006
75,0.171875,6.642124999999999
75,0.1875,7.038375098325655
75,0.1953125,7.238531014720755
75,0.203125,7.438686931115857
75,0.21875,7.825642271157166
75,0.25,8.58464926415297
75,0.28125,9.35864061640066
75,0.3125,10.127758357002403
75,0.3203125,10.32233859514966
75,0.32421875,10.419628714223288
75,0.328125,10.516948456992775
75,0.34375,10.906790326110746
75,0.375,11.700255669186307
75,0.390625,12.09905903214735
75,0.40625,12.50653650254669
75,0.421875,12.909748160724394
75,0.4375,13.324682949741664
75,0.4453125,13.533463481189038
75,0.453125,13.740289712029726
75,0.46875,14.156025656113922
75,0.484375,14.57846234052993
75,0.5,15.016050955414013
75,0.515625,15.46985668789809
75,0.5234375,15.6993241063363
75,0.52734375,15.814254258614014
75,0.53125,15.929184410891729
75,0.546875,16.398311525244512
75,0.5625,16.879226069246435
75,0.56640625,17.00015231165576
75,0.5703125,17.12417316529731
75,0.578125,17.37221487258042
75,0.5859375,17.624810304957364
75,0.59375,17.882244544009247
75,0.6015625,18.146319076457228
75,0.609375,18.415991672975018
75,0.6171875,18.693424684542588
75,0.625,18.9743690851735
75,0.6328125,19.26440501470108
75,0.63671875,19.40987932865077
75,0.640625,19.55782849829352
75,0.6484375,19.861785409556315
75,0.65234375,20.01406631496338
75,0.65625,20.169384373910013
75,0.6640625,20.48002049180328
75,0.66796875,20.643549990751012
75,0.671875,20.80829171291158
75,0.6796875,21.141815022848437
75,0.68359375,21.31138732863671
75,0.6875,21.480959634424984
75,0.6953125,21.84073520470207
75,0.703125,22.20880532829872
75,0.71875,22.97712310730744
75,0.72265625,23.180602606798352
75,0.7265625,23.385148713826364
75,0.734375,23.81231716235982
75,0.7421875,24.249583538993086
75,0.74609375,24.469374691510364
75,0.75,24.694148936170212
75,0.7578125,25.15640335332606
75,0.765625,25.645658557046985
75,0.7734375,26.149176581543824
75,0.77734375,26.407619341265235
75,0.78125,26.670515494636476
75,0.78515625,26.93588907926102
75,0.7890625,27.20480215281988
75,0.796875,27.74842356198093
75,0.80078125,28.024047205687836
75,0.802734375,28.171301463293656
75,0.8046875,28.31855572089947
75,0.8125,28.92180013689254
75,0.81640625,29.225355258679375
75,0.818359375,29.37691988597685
75,0.8203125,29.530277677279297
75,0.828125,30.18051401869159
75,0.83203125,30.51307479098509
75,0.8359375,30.836809342057425
75,0.83984375,31.17058951332561
75,0.84375,31.514564043209884
75,0.84765625,31.8581573109568
75,0.8515625,32.216447640728475
75,0.85546875,32.58643029857022
75,0.859375,32.96094407064761
75,0.86328125,33.35172784391534
75,0.8671875,33.7375964423489
75,0.875,34.518706697459585
75,0.87890625,34.93006639722864
75,0.8828125,35.351826511185145
75,0.890625,36.21833093869732
75,0.892578125,36.43159572557471
75,0.89453125,36.648779513034924
75,0.8984375,37.09167315680166
75,0.90625,38.018919624217126
75,0.91015625,38.4837389091858
75,0.9140625,38.93916070516095
75,0.91796875,39.40778607293868
75,0.921875,39.88856483993489
75,0.923828125,40.13306815030504
75,0.92578125,40.38004367720466
75,0.927734375,40.628013205701514
75,0.9296875,40.876921464505315
75,0.93359375,41.3653440054496
75,0.9375,41.86376483889204
75,0.939453125,42.114902629358824
75,0.94140625,42.36535081552306
75,0.9453125,42.862778551532024
75,0.953125,43.85279011660189
75,0.955078125,44.10307315503432
75,0.9560546875,44.230446403032026
75,0.95703125,44.35781965102974
75,0.9609375,44.87724001175088
75,0.962890625,45.14027262611276
75,0.9638671875,45.272408197329376
75,0.96484375,45.40454376854599
75,0.9658203125,45.535891223867594
75,0.966796875,45.665187645180026
75,0.96875,45.92378048780488
75,0.970703125,46.176133973639935
75,0.97265625,46.425879837352774
75,0.9765625,46.93840317919076
75,0.98046875,47.45689466783217
75,0.9814453125,47.58510571694333
75,0.982421875,47.71255187464225
75,0.9833984375,47.83999803234116
75,0.984375,47.96744419004008
75,0.98828125,48.48275550086856
75,0.9892578125,48.608780139593904
75,0.990234375,48.73435737450649
75,0.9921875,48.98551184433163
75,0.994140625,49.23895750284738
75,0.99609375,49.49254342255125
75,0.998046875,49.746269586894584
75,1.,50.
100,0.,0.
100,0.001953125,0.557861328125
100,0.00244140625,0.6058239464520437
100,0.002685546875,0.6298052556155657
100,0.002716064453125,0.6328029192610058
100,0.0027313232421875,0.634301751083726
100,0.00273895263671875,0.635051166995086
100,0.00274658203125,0.6358005829064461
100,0.0028076171875,0.6417959101973266
100,0.0029296875,0.6537865647790875
100,0.00390625,0.7497118014331751
100,0.0078125,1.0865729212524762
100,0.009765625,1.2110666908568126
100,0.0107421875,1.2733135756589808
100,0.01123046875,1.304437018060065
100,0.011474609375,1.319998739260607
100,0.0115966796875,1.327779599860878
100,0.01165771484375,1.3316700301610134
100,0.01171875,1.3355604604611488
100,0.015625,1.5646744506650951
100,0.0234375,1.9455972964724702
100,0.025390625,2.0360293520152304
100,0.02734375,2.120067271080981
100,0.03125,2.2881431092124815
100,0.0390625,2.611921849913032
100,0.041015625,2.6875942067918785
100,0.04150390625,2.7065122960115904
100,0.041748046875,2.715971340621446
100,0.0419921875,2.7254303852313018
100,0.04296875,2.7632665636707254
100,0.046875,2.9146112774284187
