"Sampler for 70 nm glassy-C on W 25.4 um diameter W wire"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.0001220703125,0.1685313611927599
75,0.00018310546875,0.2527970417891398
75,0.00018405914306640625,0.2541136930484583
75,0.00018453598022460938,0.25477201867811755
75,0.00018477439880371094,0.2551011814929471
75,0.0001850128173828125,0.25543034430777667
75,0.000186920166015625,0.25806364682641364
75,0.00019073486328125,0.2633302518636874
75,0.0001983642578125,0.2738634619382349
75,0.000213623046875,0.2949298820873298
75,0.000244140625,0.3370627223855199
75,0.00048828125,0.6741254447710396
75,0.0006103515625,0.8426568059637994
75,0.00067138671875,0.9269224865601794
75,0.0006732940673828125,0.9295557890788164
75,0.000675201416015625,0.9321890915974532
75,0.00067901611328125,0.937455696634727
75,0.0006866455078125,0.9479889067092745
75,0.000701904296875,0.9690553268583694
75,0.000732421875,1.0065129964427233
75,0.0009765625,1.202728183537464
75,0.00146484375,1.5951585577269451
75,0.001495361328125,1.6196854561137877
75,0.001499176025390625,1.6227513184121432
75,0.00150299072265625,1.6258171807104984
75,0.0015106201171875,1.631948905307209
75,0.00152587890625,1.6442123545006304
75,0.0015869140625,1.6932661512743155
75,0.001708984375,1.7913737448216858
75,0.001953125,1.9875889319164264
75,0.00244140625,2.368342735247905
75,0.0025634765625,2.4634358496639317
75,0.00262451171875,2.510982406871945
75,0.0026397705078125,2.522869046173948
75,0.002655029296875,2.534755685475951
75,0.002685546875,2.558528964079958
75,0.0029296875,2.748715192912011
75,0.00390625,3.3872329485138004
75,0.0040283203125,3.4595117913183384
75,0.00408935546875,3.4956512127206074
75,0.0041046142578125,3.504686068071175
75,0.004119873046875,3.513720923421742
75,0.004150390625,3.531790634122877
75,0.00439453125,3.676348319731953
75,0.0048828125,3.9654636909501058
75,0.00537109375,4.197539931270593
75,0.005615234375,4.309709074469728
75,0.0057373046875,4.365793646069296
75,0.00579833984375,4.39383593186908
75,0.005828857421875,4.407857074768971
75,0.005859375,4.421878217668863
