"Sampler for uncoated CuFPA substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.000244140625,0.5795983355978261
75,0.00030517578125,0.7244979194972826
75,0.000335693359375,0.7969477114470109
75,0.00034332275390625,0.815060159434443
75,0.0003509521484375,0.833172607421875
75,0.0003662109375,0.8693975033967392
75,0.00048828125,1.0592479520631068
75,0.0009765625,1.4906641889158574
75,0.001220703125,1.706372307342233
75,0.0013427734375,1.8142263665554208
75,0.00140380859375,1.8681533961620145
75,0.001407623291015625,1.8715238355124266
75,0.0014095306396484375,1.8732090551876328
75,0.00141143798828125,1.8748942748628388
75,0.0014190673828125,1.881635153563663
75,0.001434326171875,1.8951169109653117
75,0.00146484375,1.9220804257686084
75,0.001953125,2.192646329365079
75,0.0029296875,2.66286720127866
75,0.003173828125,2.7804224192570546
75,0.00341796875,2.8979776372354498
75,0.00390625,3.098128657347204
75,0.0048828125,3.4448324731794537
75,0.00537109375,3.618184381095579
75,0.005615234375,3.7048603350536413
75,0.00567626953125,3.726529323543157
75,0.0057373046875,3.7481983120326725
75,0.005859375,3.7915362890117037
75,0.0078125,4.416207449776786
75,0.0087890625,4.713769095284598
75,0.00885009765625,4.732366698128836
75,0.0089111328125,4.750964300973075
75,0.009033203125,4.788159506661551
75,0.00927734375,4.862549918038504
75,0.009765625,5.009488171728972
75,0.01171875,5.5078344042056075
75,0.0126953125,5.757007520443925
75,0.013671875,6.005429623357964
75,0.015625,6.4432214696223316
75,0.0166015625,6.662117392754515
75,0.01708984375,6.771565354320607
75,0.0172119140625,6.798927344712131
75,0.017333984375,6.826289335103653
75,0.017578125,6.881013315886699
75,0.01953125,7.269095417532918
75,0.021484375,7.638624501905752
75,0.0224609375,7.82338904409217
75,0.0234375,8.0075809439433
75,0.02734375,8.694733609858247
75,0.02783203125,8.780627693097616
75,0.028076171875,8.823574734717301
75,0.0283203125,8.866521776336985
75,0.029296875,9.03355362937359
75,0.03125,9.33447375846501
75,0.033203125,9.635393887556434
