"Sampler for 150 um glassy-C on Cu substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.000244140625,1.0020944695723686
75,0.00030517578125,1.068407560649671
75,0.0003662109375,1.134720651726974
75,0.00048828125,1.267346833881579
75,0.0009765625,1.7978515625
75,0.0010986328125,1.9304777446546053
75,0.001129150390625,1.9636342901932566
75,0.0011444091796875,1.9802125629625822
75,0.00115203857421875,1.9885016993472453
75,0.001155853271484375,1.9926462675395766
75,0.00115966796875,1.996790835731908
75,0.001220703125,2.038401322008452
75,0.00146484375,2.199818241214413
75,0.001953125,2.5226520796263343
75,0.00244140625,2.8454859180382566
75,0.00250244140625,2.8858401478397466
75,0.002532958984375,2.906017262740492
75,0.0025634765625,2.9261943776412367
75,0.002685546875,3.0047775794719827
75,0.0029296875,3.116497171336207
75,0.00390625,3.5633755387931036
75,0.00439453125,3.786814722521552
75,0.0045166015625,3.842674518453664
75,0.004547119140625,3.8566394674366924
75,0.00457763671875,3.8706044164197206
75,0.004638671875,3.8985343143857762
75,0.0048828125,4.007695168091497
75,0.005859375,4.343060449399261
75,0.0068359375,4.6784257307070245
75,0.007080078125,4.762267051033965
75,0.0072021484375,4.804187711197436
75,0.00732421875,4.846108371360906
75,0.0078125,5.012033770161291
75,0.009765625,5.597300277217743
75,0.01025390625,5.743616903981855
75,0.0103759765625,5.780196060672884
75,0.010498046875,5.816775217363912
75,0.0107421875,5.889933530745968
75,0.01171875,6.146431314683054
75,0.013671875,6.615855938712808
75,0.01416015625,6.733212094720246
75,0.0142822265625,6.762551133722106
75,0.014404296875,6.791890172723965
75,0.0146484375,6.850568250727684
75,0.015625,7.081788926799008
75,0.017578125,7.531993932227047
75,0.0185546875,7.757096434941068
75,0.0186767578125,7.785234247780319
75,0.018798828125,7.813372060619573
75,0.01904296875,7.869647686298078
75,0.01953125,7.982198937655087
75,0.0234375,8.737948975622407
75,0.02392578125,8.832053030180239
75,0.0244140625,8.92615708473807
75,0.025390625,9.102651812732775
