"Cu, TDDFT b=1, l=0, April 2026, Browning elastic below 50 eV"
"E_beam (eV)","Sample tilt (deg)","BSEY","SEY"
50.,0.,0.,0.413
75.,0.,0.085,0.537
100.,0.,0.151,0.65
125.,0.,0.211,0.739
150.,0.,0.265,0.802
175.,0.,0.306,0.865
200.,0.,0.339,0.909
250.,0.,0.39,0.988
300.,0.,0.426,1.05
350.,0.,0.45,1.089
400.,0.,0.467,1.117
500.,0.,0.486,1.15
800.,0.,0.497,1.118
1000.,0.,0.492,1.048
1500.,0.,0.454,0.857
2000.,0.,0.441,0.698
3500.,0.,0.393,0.43
5000.,0.,0.379,0.321
8000.,0.,0.361,0.211
10000.,0.,0.346,0.171
15000.,0.,0.34,0.117
20000.,0.,0.33,0.092
29975.,0.,0.312,0.067
50.,10.,0.,0.42
75.,10.,0.09,0.528
100.,10.,0.153,0.652
125.,10.,0.216,0.741
150.,10.,0.263,0.799
175.,10.,0.313,0.865
200.,10.,0.341,0.92
250.,10.,0.395,0.995
300.,10.,0.428,1.059
350.,10.,0.454,1.093
400.,10.,0.47,1.122
500.,10.,0.491,1.171
800.,10.,0.504,1.128
1000.,10.,0.493,1.066
1500.,10.,0.469,0.871
2000.,10.,0.436,0.7
3500.,10.,0.404,0.434
5000.,10.,0.386,0.32
8000.,10.,0.364,0.21
10000.,10.,0.356,0.169
15000.,10.,0.347,0.126
20000.,10.,0.336,0.094
29975.,10.,0.327,0.067
50.,20.,0.,0.417
75.,20.,0.088,0.544
100.,20.,0.161,0.664
125.,20.,0.222,0.747
150.,20.,0.27,0.822
175.,20.,0.314,0.88
200.,20.,0.355,0.922
250.,20.,0.403,1.021
300.,20.,0.439,1.062
350.,20.,0.457,1.116
400.,20.,0.477,1.155
500.,20.,0.506,1.173
800.,20.,0.523,1.168
1000.,20.,0.506,1.092
1500.,20.,0.484,0.905
2000.,20.,0.459,0.735
3500.,20.,0.413,0.464
5000.,20.,0.407,0.344
8000.,20.,0.379,0.218
10000.,20.,0.372,0.193
15000.,20.,0.358,0.125
20000.,20.,0.356,0.102
29975.,20.,0.341,0.07
50.,30.,0.,0.443
75.,30.,0.095,0.551
100.,30.,0.165,0.677
125.,30.,0.223,0.766
150.,30.,0.277,0.84
175.,30.,0.329,0.888
200.,30.,0.365,0.937
250.,30.,0.407,1.034
300.,30.,0.453,1.088
350.,30.,0.483,1.146
400.,30.,0.508,1.191
500.,30.,0.527,1.227
800.,30.,0.546,1.232
1000.,30.,0.546,1.157
1500.,30.,0.507,0.944
2000.,30.,0.493,0.789
3500.,30.,0.45,0.495
5000.,30.,0.428,0.362
8000.,30.,0.414,0.233
10000.,30.,0.408,0.203
15000.,30.,0.388,0.133
20000.,30.,0.371,0.111
29975.,30.,0.375,0.076
50.,40.,0.,0.451
75.,40.,0.103,0.565
100.,40.,0.175,0.686
125.,40.,0.238,0.774
150.,40.,0.299,0.852
175.,40.,0.342,0.922
200.,40.,0.381,0.985
250.,40.,0.447,1.066
300.,40.,0.483,1.147
350.,40.,0.512,1.202
400.,40.,0.532,1.234
500.,40.,0.559,1.295
800.,40.,0.574,1.317
1000.,40.,0.584,1.251
1500.,40.,0.56,1.032
2000.,40.,0.535,0.87
3500.,40.,0.49,0.562
5000.,40.,0.474,0.408
8000.,40.,0.456,0.28
10000.,40.,0.454,0.225
15000.,40.,0.436,0.155
20000.,40.,0.428,0.123
29975.,40.,0.412,0.086
50.,50.,0.,0.471
75.,50.,0.115,0.578
100.,50.,0.184,0.722
125.,50.,0.254,0.79
150.,50.,0.313,0.879
175.,50.,0.365,0.934
200.,50.,0.406,1.003
250.,50.,0.474,1.108
300.,50.,0.513,1.189
350.,50.,0.545,1.233
400.,50.,0.577,1.3
500.,50.,0.609,1.379
800.,50.,0.644,1.383
1000.,50.,0.638,1.357
1500.,50.,0.609,1.144
2000.,50.,0.597,0.974
3500.,50.,0.557,0.641
5000.,50.,0.531,0.483
8000.,50.,0.516,0.311
10000.,50.,0.512,0.253
15000.,50.,0.494,0.188
20000.,50.,0.48,0.147
29975.,50.,0.471,0.104
50.,60.,0.,0.488
75.,60.,0.119,0.606
100.,60.,0.204,0.721
125.,60.,0.28,0.828
150.,60.,0.339,0.906
175.,60.,0.393,0.966
200.,60.,0.437,1.031
250.,60.,0.517,1.129
300.,60.,0.557,1.246
350.,60.,0.6,1.308
400.,60.,0.639,1.381
500.,60.,0.67,1.455
800.,60.,0.729,1.507
1000.,60.,0.74,1.454
1500.,60.,0.706,1.257
2000.,60.,0.693,1.114
3500.,60.,0.647,0.757
5000.,60.,0.624,0.585
8000.,60.,0.6,0.38
10000.,60.,0.591,0.325
15000.,60.,0.561,0.227
20000.,60.,0.554,0.181
29975.,60.,0.547,0.129
50.,70.,0.001,0.51
75.,70.,0.132,0.624
100.,70.,0.218,0.751
125.,70.,0.296,0.851
150.,70.,0.369,0.921
175.,70.,0.435,0.996
200.,70.,0.482,1.052
250.,70.,0.553,1.181
300.,70.,0.62,1.264
350.,70.,0.67,1.346
400.,70.,0.711,1.413
500.,70.,0.765,1.496
800.,70.,0.826,1.559
1000.,70.,0.833,1.564
1500.,70.,0.826,1.41
2000.,70.,0.805,1.256
