"Cu, TDDFT b=1, l=0, April 2026, Browning elastic below 50 eV"
"E_beam (eV)","Sample tilt (deg)","BSEY","SEY"
3500.,70.,0.764,0.936
5000.,70.,0.738,0.733
8000.,70.,0.707,0.523
10000.,70.,0.692,0.437
15000.,70.,0.677,0.318
20000.,70.,0.662,0.253
29975.,70.,0.647,0.178
50.,80.,0.021,0.514
75.,80.,0.149,0.629
100.,80.,0.243,0.753
125.,80.,0.321,0.858
150.,80.,0.397,0.934
175.,80.,0.468,1.012
200.,80.,0.522,1.067
250.,80.,0.614,1.164
300.,80.,0.691,1.248
350.,80.,0.744,1.326
400.,80.,0.793,1.368
500.,80.,0.852,1.5
800.,80.,0.939,1.554
1000.,80.,0.963,1.554
1500.,80.,0.963,1.433
2000.,80.,0.945,1.291
3500.,80.,0.918,1.037
5000.,80.,0.885,0.912
8000.,80.,0.863,0.747
10000.,80.,0.851,0.653
15000.,80.,0.83,0.531
20000.,80.,0.815,0.453
29975.,80.,0.786,0.329
50.,82.,0.038,0.504
75.,82.,0.159,0.631
100.,82.,0.244,0.759
125.,82.,0.33,0.859
150.,82.,0.41,0.939
175.,82.,0.477,1.001
200.,82.,0.532,1.072
250.,82.,0.624,1.19
300.,82.,0.695,1.263
350.,82.,0.762,1.327
400.,82.,0.802,1.392
500.,82.,0.861,1.468
800.,82.,0.965,1.543
1000.,82.,0.989,1.528
1500.,82.,0.989,1.408
2000.,82.,0.975,1.289
3500.,82.,0.956,1.074
5000.,82.,0.933,0.938
8000.,82.,0.9,0.791
10000.,82.,0.887,0.709
15000.,82.,0.871,0.595
20000.,82.,0.85,0.496
29975.,82.,0.828,0.384
50.,85.,0.139,0.458
75.,85.,0.216,0.587
100.,85.,0.289,0.711
125.,85.,0.365,0.805
150.,85.,0.436,0.901
175.,85.,0.489,0.98
200.,85.,0.546,1.044
250.,85.,0.633,1.151
300.,85.,0.706,1.248
350.,85.,0.773,1.311
400.,85.,0.825,1.362
500.,85.,0.888,1.425
800.,85.,0.989,1.507
1000.,85.,1.011,1.481
1500.,85.,1.027,1.36
2000.,85.,1.013,1.244
3500.,85.,0.992,1.058
5000.,85.,0.99,0.928
8000.,85.,0.968,0.842
10000.,85.,0.957,0.752
15000.,85.,0.943,0.685
20000.,85.,0.927,0.607
29975.,85.,0.904,0.505
50.,86.,0.203,0.423
75.,86.,0.271,0.543
100.,86.,0.318,0.693
125.,86.,0.385,0.796
150.,86.,0.451,0.867
175.,86.,0.51,0.951
200.,86.,0.562,1.022
250.,86.,0.648,1.137
300.,86.,0.729,1.201
350.,86.,0.771,1.299
400.,86.,0.828,1.35
500.,86.,0.895,1.422
800.,86.,0.997,1.492
1000.,86.,1.013,1.471
1500.,86.,1.026,1.34
2000.,86.,1.03,1.241
3500.,86.,1.012,1.046
5000.,86.,0.997,0.939
8000.,86.,0.986,0.828
10000.,86.,0.984,0.772
15000.,86.,0.964,0.695
20000.,86.,0.951,0.63
29975.,86.,0.936,0.543
50.,87.,0.299,0.37
75.,87.,0.34,0.497
100.,87.,0.386,0.621
125.,87.,0.435,0.723
150.,87.,0.488,0.815
175.,87.,0.538,0.894
200.,87.,0.576,0.987
250.,87.,0.661,1.078
300.,87.,0.735,1.187
350.,87.,0.789,1.275
400.,87.,0.845,1.31
500.,87.,0.904,1.401
800.,87.,1.005,1.473
1000.,87.,1.02,1.448
1500.,87.,1.033,1.328
2000.,87.,1.033,1.217
3500.,87.,1.02,0.997
5000.,87.,1.023,0.909
8000.,87.,1.01,0.814
10000.,87.,1.005,0.791
15000.,87.,0.993,0.698
20000.,87.,0.989,0.658
29975.,87.,0.966,0.575
50.,88.,0.445,0.29
75.,88.,0.468,0.405
100.,88.,0.487,0.522
125.,88.,0.519,0.618
150.,88.,0.556,0.705
175.,88.,0.6,0.773
200.,88.,0.64,0.846
250.,88.,0.7,0.962
300.,88.,0.757,1.077
350.,88.,0.81,1.167
400.,88.,0.848,1.237
500.,88.,0.903,1.338
800.,88.,1.009,1.447
1000.,88.,1.023,1.406
1500.,88.,1.049,1.327
2000.,88.,1.038,1.208
3500.,88.,1.03,1.
5000.,88.,1.026,0.894
8000.,88.,1.023,0.79
10000.,88.,1.021,0.76
15000.,88.,1.022,0.72
20000.,88.,1.008,0.648
29975.,88.,1.009,0.624
50.,89.,0.673,0.177
75.,89.,0.668,0.25
100.,89.,0.67,0.337
125.,89.,0.689,0.404
150.,89.,0.709,0.463
175.,89.,0.729,0.528
200.,89.,0.742,0.601
250.,89.,0.783,0.703
300.,89.,0.824,0.779
350.,89.,0.859,0.862
400.,89.,0.889,0.93
500.,89.,0.924,1.011
800.,89.,1.005,1.165
1000.,89.,1.028,1.217
1500.,89.,1.046,1.166
2000.,89.,1.042,1.132
3500.,89.,1.05,0.974
5000.,89.,1.037,0.868
8000.,89.,1.038,0.774
10000.,89.,1.039,0.759
15000.,89.,1.04,0.679
20000.,89.,1.026,0.646
29975.,89.,1.032,0.618
