"Sampler for uncoated SiFBSEED substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.000244140625,0.7209195223721591
75,0.00030517578125,0.9011494029651987
75,0.000335693359375,0.9912643432617186
75,0.00034332275390625,1.0046900730044617
75,0.0003437995910644531,1.0051688521501638
75,0.00034427642822265625,1.005647631295866
75,0.0003452301025390625,1.0066051895872705
75,0.000347137451171875,1.0085203061700787
75,0.0003509521484375,1.012350539335696
75,0.0003662109375,1.0276714719981646
75,0.00048828125,1.1502389332979135
75,0.0009765625,1.6405087784969088
75,0.001220703125,1.8856437010964067
75,0.0013427734375,2.0050332752916273
75,0.00146484375,2.080164632431312
75,0.001953125,2.380690060990052
75,0.0029296875,2.981740918107532
75,0.00299072265625,3.0138862778827726
75,0.0030059814453125,3.020641060460365
75,0.003021240234375,3.027395843037958
75,0.0030517578125,3.040905408193143
75,0.003173828125,3.094943668813884
75,0.00341796875,3.203020190055366
75,0.00390625,3.4191732325383306
75,0.0048828125,3.8514793175042588
75,0.005126953125,3.9595558387457412
75,0.00518798828125,3.986574969056112
75,0.0052032470703125,3.9933297516337043
75,0.005218505859375,4.000065103098965
75,0.0052490234375,4.010469347058678
75,0.00537109375,4.052086322897534
75,0.005859375,4.218554226252952
75,0.0078125,4.884425839674626
75,0.008056640625,4.967659791352336
75,0.0081787109375,5.007526880937966
75,0.00823974609375,5.024410242117641
75,0.008270263671875,5.032851922707479
75,0.00830078125,5.0412936032973175
75,0.0087890625,5.176360492734724
75,0.009765625,5.446494271609538
75,0.01171875,5.986761829359166
75,0.011962890625,6.046444163602941
75,0.01220703125,6.1042122549968125
75,0.0126953125,6.219748437784556
75,0.013671875,6.450820803360044
75,0.015625,6.9129655345110175
75,0.01611328125,7.024751372716669
75,0.0162353515625,7.049834765872113
75,0.016357421875,7.074918159027558
75,0.0166015625,7.125084945338447
75,0.017578125,7.325752090582003
75,0.01953125,7.727086381069112
75,0.0205078125,7.927753526312668
75,0.02099609375,8.02489762043495
