"SEY vs. energy for Au substrate."
"beamE (eV)","SEY"
75,0.5905886666666667
100,0.707605
125,0.8008770000000001
150,0.8797233333333334
175,0.947729
200,1.007898
250,1.1102893333333335
300,1.188187
350,1.2444080000000002
400,1.279376
500,1.3055573333333335
800,1.2359046666666667
1000,1.155172
1500,0.9807423333333334
2000,0.8482050000000001
3500,0.5960436666666667
5000,0.4544316666666667
8000,0.30973733333333336
10000,0.25670566666666667
