"Sampler for 70 nm glassy-C on W 25.4 um diameter W wire"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.0001220703125,0.4387135225183824
75,0.000152587890625,0.5483919031479779
75,0.00016021728515625,0.5758114983053769
75,0.000164031982421875,0.5895212958840763
75,0.00016498565673828125,0.5929487452787512
75,0.0001652240753173828,0.5938056076274199
75,0.0001653432846069336,0.5942340388017543
75,0.00016546249389648438,0.5946624699760886
75,0.0001659393310546875,0.5963761946734261
75,0.0001678466796875,0.6032310934627758
75,0.00018310546875,0.6580702837775735
75,0.000244140625,0.8774270450367647
75,0.00048828125,1.4073815724206349
75,0.0006103515625,1.6441476004464284
75,0.00067138671875,1.7625306144593254
75,0.0006866455078125,1.7921263679625494
75,0.00069427490234375,1.8069242447141616
75,0.000698089599609375,1.8143231830899678
75,0.0006999969482421875,1.8180226522778706
75,0.000701904296875,1.8217221214657737
75,0.000732421875,1.880913628472222
75,0.0009765625,2.1641917509191178
75,0.00146484375,2.6029052734375
75,0.001708984375,2.822262034696691
75,0.0018310546875,2.9319404153262867
75,0.00183868408203125,2.9387953141156364
75,0.0018463134765625,2.945650212904986
75,0.001861572265625,2.9593600104836852
75,0.00189208984375,2.9867796056410842
75,0.001953125,3.02963432591623
75,0.0029296875,3.654399132853403
75,0.003173828125,3.810590334587696
75,0.0032958984375,3.8886859354548426
75,0.00341796875,3.9667815363219896
75,0.00390625,4.205078125
75,0.0048828125,4.664039963942307
75,0.005126953125,4.778780423677884
75,0.0052490234375,4.836150653545673
75,0.005279541015625,4.85049321101262
75,0.00531005859375,4.864835768479567
75,0.00537109375,4.893520883413461
75,0.005859375,5.107678345959596
75,0.0068359375,5.509463120791246
75,0.00732421875,5.710355508207071
75,0.007568359375,5.810801701914983
75,0.00762939453125,5.835913250341961
75,0.007659912109375,5.84846902455545
75,0.0076904296875,5.8610247987689394
75,0.0078125,5.911247895622895
75,0.009765625,6.583243904532967
75,0.0107421875,6.911073789491758
