"Sampler for emission energy (eE) of SE from a planar Au substrate"
"eE = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","eE (eV)"
75,0.,0.
75,0.00390625,0.5784020588187492
75,0.00396728515625,0.5819172068699922
75,0.0039825439453125,0.5827959938828028
75,0.003997802734375,0.5836747808956136
75,0.0040283203125,0.585432354921235
75,0.004150390625,0.5924626510237209
75,0.00439453125,0.6065232432286927
75,0.0048828125,0.634644427638636
75,0.005859375,0.690886796458523
75,0.0078125,0.8033715340982965
75,0.015625,1.1589597697046343
75,0.0166015625,1.194253508166918
75,0.016845703125,1.2030769427824892
75,0.01690673828125,1.205282801436382
75,0.0169677734375,1.2074886600902746
75,0.01708984375,1.2119003773980601
75,0.017578125,1.2295472466292021
75,0.01953125,1.3001347235537695
75,0.0234375,1.4413096774029046
75,0.03125,1.6769925343018564
75,0.03515625,1.7887110320823245
75,0.0361328125,1.8166406565274413
75,0.03662109375,1.83060546875
75,0.037109375,1.8445702809725586
75,0.0390625,1.9004295298627922
75,0.046875,2.109169600938967
75,0.0546875,2.3060955061175132
75,0.05859375,2.4045584587067865
75,0.060546875,2.453789935001423
75,0.0625,2.5028141066412255
75,0.078125,2.869643010945036
75,0.0859375,3.0518993755832637
75,0.0869140625,3.074325757716909
75,0.087890625,3.0967521398505546
75,0.08984375,3.1416049041178455
75,0.09375,3.2313104326524256
75,0.109375,3.586596924734129
75,0.11328125,3.67278358182237
75,0.1171875,3.758970238910612
75,0.125,3.9313435530870966
75,0.140625,4.274769404992068
75,0.15625,4.61867279136511
75,0.171875,4.964116312078861
75,0.1875,5.307487915220625
75,0.203125,5.652544108232281
75,0.21875,6.000061627609168
75,0.2265625,6.177317638301958
75,0.234375,6.354573648994749
75,0.25,6.715345555262464
75,0.265625,7.081943427838513
75,0.2734375,7.267845840943887
75,0.27734375,7.360797047496575
75,0.28125,7.453748254049263
75,0.296875,7.8351681542269285
75,0.30078125,7.930864635760902
75,0.3046875,8.027371022840613
75,0.3125,8.22459996865293
75,0.3203125,8.421828914465248
75,0.32421875,8.520897168756736
75,0.328125,8.621700584782545
75,0.34375,9.0255498506348
75,0.34765625,9.128924920649736
75,0.3515625,9.232299990664675
75,0.359375,9.439050130694548
75,0.3671875,9.652225814437651
75,0.37109375,9.760156712970183
75,0.375,9.868087611502713
75,0.390625,10.308400875068177
75,0.40625,10.759469478421417
75,0.41015625,10.873560028312617
75,0.4140625,10.987650578203818
75,0.421875,11.223418675983753
75,0.4296875,11.459620885379339
75,0.4375,11.700146940839959
75,0.4453125,11.941564582025253
75,0.44921875,12.063889128091114
75,0.453125,12.187729820527501
75,0.46875,12.689192968345534
75,0.484375,13.20965866367177
75,0.5,13.748572553652293
75,0.515625,14.301618811430648
75,0.53125,14.869250692034367
75,0.546875,15.45072673498248
75,0.5625,16.055831217143368
75,0.5703125,16.364169492894057
75,0.57421875,16.518935914355048
75,0.578125,16.67812629381728
75,0.5859375,16.99650705274174
75,0.58984375,17.159701353336008
75,0.59375,17.3229854786958
75,0.6015625,17.654045792831106
75,0.609375,17.99042299513973
75,0.61328125,18.1643964331142
75,0.6171875,18.338719160873506
75,0.625,18.691266841509822
75,0.6328125,19.047947728282455
75,0.63671875,19.228821681280053
75,0.640625,19.40969563427765
75,0.6484375,19.780519516690973
75,0.65625,20.157276761144747
75,0.6640625,20.53853347891901
75,0.671875,20.92298859154538
75,0.6796875,21.316987489261166
75,0.6875,21.716778918887467
75,0.6953125,22.121539029208098
75,0.69921875,22.326349663011953
75,0.703125,22.532226502723876
75,0.70703125,22.744045102757543
75,0.7109375,22.955863702791213
75,0.71875,23.388246367962925
75,0.7265625,23.82883272647247
75,0.734375,24.278312569621907
75,0.7421875,24.738186835151147
75,0.75,25.206261478810962
75,0.7578125,25.682300969216218
75,0.765625,26.171188679753097
75,0.7734375,26.66912193237675
75,0.78125,27.17424488847584
75,0.7890625,27.692565566234457
75,0.796875,28.2221072078878
75,0.8046875,28.76301282240889
75,0.80859375,29.036617172442174
75,0.8125,29.314522767426915
75,0.8203125,29.880918423715514
75,0.828125,30.455436736347764
75,0.8359375,31.054688188204707
75,0.84375,31.667289630592666
75,0.84765625,31.977563141643504
75,0.8515625,32.291972913824466
75,0.859375,32.93771992490081
75,0.8671875,33.59872069171211
75,0.87109375,33.93573670931535
75,0.875,34.278170937624154
75,0.8828125,34.97450004428585
75,0.890625,35.69664613892432
75,0.8984375,36.441538140538476
75,0.90234375,36.82517118642889
75,0.90625,37.21760552228492
75,0.91015625,37.61694876710541
75,0.9140625,38.018639555706834
75,0.91796875,38.42835782100994
75,0.921875,38.84826083973654
75,0.9296875,39.70905257622722
75,0.9375,40.605599098492995
75,0.9453125,41.543951283699265
75,0.94921875,42.02634933759581
75,0.951171875,42.28139654195533
75,0.953125,42.536108423397096
75,0.95703125,43.04230646676837
75,0.9609375,43.55875918837599
75,0.96484375,44.08851204600721
75,0.966796875,44.359964859683856
75,0.96875,44.637817744323776
75,0.97265625,45.21668158987265
75,0.9765625,45.81637900026159
75,0.978515625,46.12200241748469
75,0.98046875,46.43364511099603
75,0.982421875,46.751726042629386
75,0.984375,47.07527773726176
75,0.98828125,47.75099461143333
75,0.9921875,48.456520820328755
75,0.994140625,48.835231224520705
75,0.99609375,49.21579607538984
75,0.998046875,49.60068307538079
75,1.,50.
100,0.,0.
100,0.00390625,0.5695181619965088
100,0.00396728515625,0.5728938679319693
100,0.0039825439453125,0.5737377944158344
100,0.003997802734375,0.5745817208996995
100,0.0040283203125,0.5762695738674297
100,0.004150390625,0.5830209857383507
100,0.00439453125,0.5965238094801926
100,0.0048828125,0.6235294569638763
100,0.005859375,0.6775407519312439
100,0.0078125,0.785563341865979
100,0.015625,1.137886382580134
100,0.0166015625,1.1721032234911943
100,0.016845703125,1.1806574337189595
100,0.01690673828125,1.1827959862759008
100,0.0169677734375,1.184934538832842
100,0.01708984375,1.1892116439467244
100,0.017578125,1.2063200644022547
100,0.01953125,1.2747537462243752
100,0.0234375,1.4116211098686164
100,0.03125,1.6508877106118829
100,0.03515625,1.762303695533147
100,0.0361328125,1.790157691763463
100,0.03662109375,1.8040846898786211
100,0.037109375,1.818011687993779
100,0.0390625,1.8737196804544112
100,0.046875,2.0840619662743904
100,0.0546875,2.2780689405327315
100,0.05859375,2.3750724276619017
100,0.060546875,2.423574171226487
100,0.0625,2.472075914791072
100,0.078125,2.8388661339417425
100,0.0859375,3.020344477366749
100,0.0869140625,3.0420015836060412
100,0.087890625,3.063658689845333
100,0.08984375,3.106972902323917
100,0.09375,3.193601327281085
100,0.109375,3.5397232804191754
100,0.11328125,3.6255057281645047
100,0.1171875,3.711288175909834
100,0.125,3.8828530714004925
100,0.140625,4.223408257056658
100,0.15625,4.5623787205109405
100,0.171875,4.900244755378315
100,0.1875,5.240585954385459
