"BSEY vs. energy for planar Au substrate."
"beamE (eV)","BSEY"
75,0.081509
100,0.09416200000000001
125,0.11321400000000001
150,0.13348400000000002
175,0.155065
200,0.17718333333333333
250,0.22341200000000003
300,0.2699666666666667
350,0.3133436666666667
400,0.3535196666666667
500,0.4174623333333334
800,0.5171536666666667
1000,0.543914
1500,0.568601
2000,0.5738143333333333
3500,0.5598676666666667
5000,0.5440946666666667
8000,0.5285426666666667
10000,0.5229366666666667
