"Sampler for uncoated SiFBSEED substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.000244140625,0.4640869140625001
75,0.00030517578125,0.580108642578125
75,0.00031280517578125,0.5946113586425782
75,0.0003147125244140625,0.5982370376586914
75,0.00031566619873046875,0.6000498771667481
75,0.0003161430358886719,0.6009562969207765
75,0.000316619873046875,0.6018627166748047
75,0.0003204345703125,0.6091140747070313
75,0.000335693359375,0.6381195068359375
75,0.0003662109375,0.69613037109375
75,0.00048828125,0.928173828125
75,0.0009765625,1.2691859037328095
75,0.0010986328125,1.3421268725442044
75,0.00115966796875,1.3785973569499017
75,0.001190185546875,1.3968325991527506
75,0.001220703125,1.4150678413555993
75,0.00146484375,1.560949778978389
75,0.001953125,1.8527136542239686
75,0.00244140625,2.0834722616345065
75,0.0025634765625,2.1256140926503972
75,0.00262451171875,2.1466850081583426
75,0.002655029296875,2.1572204659123155
75,0.0026702880859375,2.1624881947893018
75,0.002685546875,2.1677559236662884
75,0.0029296875,2.2520395856980704
75,0.00390625,2.5891742338251986
75,0.00439453125,2.757741557888763
75,0.004638671875,2.842025219920545
75,0.00469970703125,2.8630961354284903
75,0.0047149658203125,2.8683638643054765
75,0.004730224609375,2.873631593182463
75,0.0047607421875,2.884167050936436
75,0.0048828125,2.926308881952327
75,0.005859375,3.199051243567753
75,0.0068359375,3.453781625214408
75,0.00732421875,3.581146816037736
75,0.007354736328125,3.589107140464194
75,0.00738525390625,3.5970674648906518
75,0.0074462890625,3.612988113743568
75,0.007568359375,3.6448294114494
75,0.0078125,3.7085120068610635
75,0.009765625,4.15412750151607
75,0.01025390625,4.244186817768345
75,0.010498046875,4.289216475894482
75,0.0106201171875,4.31173130495755
75,0.0107421875,4.334246134020619
75,0.01171875,4.5143647665251665
75,0.013671875,4.8746020315342635
75,0.01416015625,4.964661347786538
75,0.014404296875,5.008713450790622
75,0.0146484375,5.049200858778626
75,0.015625,5.211150490730644
75,0.017578125,5.535049754634678
