"Sampler for uncoated Au substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.000244140625,0.709649157914959
75,0.00030517578125,0.8870614473936987
75,0.000335693359375,0.9757675921330686
75,0.0003509521484375,1.006773512884481
75,0.0003528594970703125,1.0086399156263068
75,0.00035381317138671875,1.0095731169972197
75,0.0003540515899658203,1.009806417339948
75,0.0003542900085449219,1.0100397176826763
75,0.000354766845703125,1.0105063183681326
75,0.00035858154296875,1.0142391238517845
75,0.0003662109375,1.021704734819088
75,0.00048828125,1.1411545102959437
75,0.0009765625,1.6189536122033665
75,0.001220703125,1.8578531631570778
75,0.0013427734375,1.9773029386339336
75,0.00140380859375,2.0223946666844856
75,0.001407623291015625,2.024652291362849
75,0.00141143798828125,2.0269099160412125
75,0.0014190673828125,2.0314251653979394
75,0.001434326171875,2.0404556641113936
75,0.00146484375,2.058516661538301
75,0.001953125,2.347492620368825
75,0.0029296875,2.9254445380298733
75,0.003173828125,3.0479995010917813
75,0.003204345703125,3.0603960070003757
75,0.00323486328125,3.0727925129089706
75,0.0032958984375,3.09758552472616
75,0.00341796875,3.1471715483605385
75,0.00390625,3.345515642898053
75,0.0048828125,3.7422038319730815
75,0.00537109375,3.940547926510596
75,0.005615234375,4.031765790682828
75,0.00567626953125,4.05159384062457
75,0.0056915283203125,4.056550853110006
75,0.005706787109375,4.061507865595442
75,0.0057373046875,4.071421890566313
75,0.005859375,4.1110779904497985
75,0.0078125,4.745575588585562
75,0.0087890625,5.0534105152355915
75,0.0089111328125,5.087124377099153
75,0.009033203125,5.120838238962714
75,0.00927734375,5.188265962689836
75,0.009765625,5.323121410144081
75,0.01171875,5.862543199961059
75,0.0126953125,6.11024036471858
75,0.01275634765625,6.124291454900614
75,0.0128173828125,6.138342545082649
75,0.012939453125,6.166444725446718
75,0.01318359375,6.222649086174857
75,0.013671875,6.335057807631134
75,0.015625,6.784692693456245
75,0.0166015625,7.008236486035364
75,0.01708984375,7.105590806585938
