"BSEY vs. energy for planar SiFBSEED substrate."
"beamE (eV)","BSEY"
75,0.10418633333333334
100,0.14273533333333335
125,0.16962200000000002
150,0.188221
175,0.20195700000000003
200,0.21197866666666668
250,0.22660433333333335
300,0.23583833333333334
350,0.24193
400,0.24609733333333333
500,0.25107833333333335
800,0.252607
1000,0.24994066666666667
1500,0.24091733333333334
2000,0.23232766666666668
3500,0.20930733333333335
5000,0.19736066666666668
8000,0.185758
10000,0.180426
