"Sampler for uncoated Au substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.000244140625,0.9249054439484128
75,0.0003662109375,1.122017822265625
75,0.00042724609375,1.1948541259765624
75,0.000457763671875,1.2312722778320313
75,0.000461578369140625,1.2358245468139648
75,0.0004620552062988281,1.2363935804367066
75,0.00046253204345703125,1.2369626140594483
75,0.0004634857177734375,1.2381006813049318
75,0.00046539306640625,1.2403768157958985
75,0.0004730224609375,1.2494813537597658
75,0.00048828125,1.2676904296875
75,0.0009765625,1.850380859375
75,0.00146484375,2.2740957525712027
75,0.001708984375,2.4584914581685124
75,0.0018310546875,2.5506893109671678
75,0.00189208984375,2.5967882373664954
75,0.001922607421875,2.619837700566159
75,0.0019378662109375,2.6313624321659908
75,0.001941680908203125,2.634243615065949
75,0.00194549560546875,2.6371247979659067
75,0.001953125,2.6428871637658227
75,0.00390625,3.4056310993111367
75,0.004150390625,3.472530115348737
75,0.0042724609375,3.5059796233675375
75,0.004302978515625,3.5143420003722374
75,0.00433349609375,3.5227043773769373
75,0.00439453125,3.5394291313863375
75,0.0048828125,3.6732271634615383
75,0.005859375,3.9408232276119404
75,0.0068359375,4.172069386848341
75,0.00732421875,4.2825320275473935
75,0.007568359375,4.337763347896919
75,0.007598876953125,4.34466726294061
75,0.00762939453125,4.351571177984301
75,0.0076904296875,4.365379008071683
75,0.0078125,4.392994668246446
75,0.01171875,5.260172961229947
75,0.0118408203125,5.286139557918338
75,0.01190185546875,5.299122856262533
75,0.011962890625,5.312106154606729
75,0.01220703125,5.364039347983511
75,0.0126953125,5.4679057347370765
75,0.013671875,5.675638508244207
75,0.015625,6.083240024429967
75,0.0166015625,6.273041467324918
75,0.01708984375,6.367942188772394
75,0.017578125,6.4628429102198695
75,0.01953125,6.842445796009772
75,0.021484375,7.201982060185185
75,0.0224609375,7.374631076388889
75,0.02294921875,7.4609555844907405
75,0.023193359375,7.504117838541667
75,0.0234375,7.547280092592593
75,0.02734375,8.234061816690962
