"Sampler for uncoated CuFPA substrate"
"theta = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","theta (deg)"
75,0.,0.
75,0.000244140625,0.7337113272588692
75,0.0003662109375,1.032818895000452
75,0.00037384033203125,1.0403013436390591
75,0.0003743171691894531,1.0407689966789722
75,0.00037479400634765625,1.041236649718885
75,0.0003757476806640625,1.0421719557987108
75,0.000377655029296875,1.0440425679583627
75,0.0003814697265625,1.047783792277666
75,0.000396728515625,1.0627486895548797
75,0.00042724609375,1.0926784841093071
75,0.00048828125,1.1525380732181623
75,0.0009765625,1.6314147860890016
75,0.001220703125,1.8708531425244213
75,0.0013427734375,1.9905723207421313
75,0.00140380859375,2.0314091480009298
75,0.0014190673828125,2.0407293318842594
75,0.00142669677734375,2.0453894238259247
75,0.001430511474609375,2.0477194697967573
75,0.001434326171875,2.0500495157675895
75,0.00146484375,2.0686898835342498
75,0.001953125,2.366935767800811
75,0.0029296875,2.9634275363339344
75,0.003173828125,3.0829181645812582
75,0.003204345703125,3.0966508923615437
75,0.00321197509765625,3.100084074306615
75,0.0032196044921875,3.103517256251686
75,0.00323486328125,3.1103836201418287
75,0.0032958984375,3.1378490757023987
75,0.00341796875,3.192779986823539
75,0.00390625,3.412503631308101
75,0.0048828125,3.8519509202772246
75,0.00537109375,4.055711945564516
75,0.005615234375,4.1411064768145165
75,0.00567626953125,4.162455109627016
75,0.005706787109375,4.173129426033266
75,0.0057220458984375,4.178466584236391
75,0.0057373046875,4.183803742439516
75,0.005859375,4.226501008064516
75,0.0078125,4.909657258064517
75,0.0087890625,5.203541105869747
75,0.0089111328125,5.238132764723369
75,0.00897216796875,5.25542859415018
75,0.009033203125,5.2727244235769914
75,0.00927734375,5.341907741284236
75,0.009765625,5.480274376698725
75,0.01171875,6.028317742147745
75,0.0126953125,6.2605716874671
75,0.0128173828125,6.2896034306320185
75,0.012939453125,6.318635173796938
75,0.01318359375,6.3766986601267766
75,0.013671875,6.492825632786454
75,0.015625,6.957333523425162
75,0.0166015625,7.1651320471305215
