"SEY vs. energy for SiFBSEED substrate."
"beamE (eV)","SEY"
75,0.43309000000000003
100,0.4934046666666667
125,0.5287766666666667
150,0.5504983333333333
175,0.5614266666666667
200,0.565157
250,0.559295
300,0.5451480000000001
350,0.526354
400,0.5067216666666667
500,0.4662716666666667
800,0.36598800000000004
1000,0.31325233333333335
1500,0.229631
2000,0.178425
3500,0.10728433333333334
5000,0.07688600000000001
8000,0.05028133333333334
10000,0.04111133333333333
